,Asymmetry,Groove,Area,Type
147,4.421,5.002,12.49,3
148,3.26,5.316,12.7,3
149,5.4620000000000015,5.194,10.79,3
150,5.195,5.307,11.83,3
151,6.992000000000001,5.27,12.01,3
152,4.756,5.36,12.26,3
153,3.332,5.001,11.18,3
154,4.048,5.263,11.36,3
155,5.813,5.2189999999999985,11.19,3
156,3.347,5.003,11.34,3
157,4.825,5.22,12.13,3
158,4.378,5.31,11.75,3
159,5.388,5.31,11.49,3
160,3.082,5.4910000000000005,12.54,3
161,4.271,5.308,12.02,3
162,4.988,5.046,12.05,3
163,4.419,5.176,12.55,3
164,6.388,5.049,11.14,3
165,2.201,5.056,12.1,3
166,4.924,5.27,12.44,3
167,3.638,5.337999999999999,12.15,3
168,4.337,5.1320000000000014,11.35,3
169,3.5210000000000004,5.088,11.24,3
170,6.735,5.1629999999999985,11.02,3
171,6.715,4.956,11.55,3
172,4.309,5.0,11.27,3
173,5.587999999999999,5.089,11.4,3
174,5.182,5.185,10.83,3
175,4.773,5.063,10.8,3
176,5.335,5.092,11.26,3
177,4.702,4.963,10.74,3
178,5.876,5.002,11.48,3
179,1.661,5.178,12.21,3
180,4.957,4.825,11.41,3
181,4.987,5.147,12.46,3
182,4.857,5.158,12.19,3
183,5.209,5.135,11.65,3
184,6.185,5.316,12.89,3
185,4.062,5.182,11.56,3
186,4.898,5.352,11.81,3
187,4.1789999999999985,4.956,10.91,3
188,7.524,4.957,11.23,3
189,4.975,4.794,10.59,3
190,5.398,5.045,10.93,3
191,3.985,5.001,11.27,3
192,3.597,5.1320000000000014,11.87,3
193,4.853,5.089,10.82,3
194,4.132,5.012,12.11,3
195,4.873,4.914,12.8,3
196,5.483,4.958,12.79,3
197,4.67,5.091,13.37,3
198,3.306,5.231,12.62,3
199,2.8280000000000003,4.83,12.76,3
200,5.472,5.045,12.38,3
201,2.3,4.745,12.67,3
202,4.051,4.828,11.18,3
203,8.456,5.0,12.7,3
204,3.919,5.001,12.37,3
205,3.631,4.87,12.19,3
206,4.325,5.003,11.23,3
207,8.315,5.056,13.2,3
208,3.5980000000000003,5.044,11.84,3
209,5.6370000000000005,5.063,12.3,3
